Feature,State,Count,Minimum_SHAP,Maximum_SHAP,Mean_SHAP,SD_SHAP
MLD,1,240,-0.96404772487793,1.1423547398871143,-0.08182748192602492,0.5511096750021521
MLD,2,240,-2.072129380454889,2.770468893062101,-0.17411612235579374,1.4050274313765598
MLD,3,240,-0.0142341571828396,0.0069579783430901,-0.000654671224607949,0.0057242190403341735
SST,1,240,-1.5326437746083028,1.84111220993199,0.018055296731273367,1.1059814159180774
SST,2,240,-0.990632819686084,0.8346340711536221,0.003424315586211006,0.3364872650980145
SST,3,240,-0.0185129396380693,-0.0037593436684072,-0.01023452725412734,0.0025724654420709293
SSS,1,240,-0.8201724386811595,1.358281476248573,0.0004133793248589397,0.6471320271658907
SSS,2,240,-0.503808143492462,0.6323049920301608,-0.01455752684031099,0.2800532661597083
SSS,3,240,-0.0043816477773697,0.012875493275105,0.004126830481911892,0.003416958424212657
PAR,1,240,-0.6219124488761227,0.6342052650015595,-0.034849281222955504,0.2965981103044078
PAR,2,240,-0.7774138205203502,1.3079554751157323,-0.039821845486564096,0.6313751465634612
PAR,3,240,-0.0111619500260625,0.0062615549034572,0.0008215131064833298,0.002123453492919079
SPCo2,1,240,-0.3961530963611898,1.4592751114711917,0.024501680238043024,0.4003704833584381
SPCo2,2,240,-0.5725075627984766,0.6494119843455997,-0.007868803557536217,0.3445354511202901
SPCo2,3,240,-0.0178554908307963,0.0054550670391184,-0.0013869330634822253,0.004757667066371894
NINO_3.4,1,240,-1.230751935902448,1.2685284791613989,0.003940420742569498,0.39425002392610864
NINO_3.4,2,240,-0.8732876750995417,1.3577602167430571,0.004496018566363713,0.3761520326114695
NINO_3.4,3,240,-0.0189126437744497,0.0082023961624477,0.0006726505849393818,0.0037708675097193954
SSH,1,240,-0.6024898679831131,1.0043935192756346,-0.02497995198641896,0.4395487107820575
SSH,2,240,-0.3360749719478116,0.6280691506503779,-0.015521838261256915,0.19389893131898442
SSH,3,240,-0.0106088078800398,0.0054266507153101,0.000823738429189396,0.0026009909486575788
NO3,1,240,-0.7516051306857043,0.5458527348770684,-0.03769234916747533,0.2976133463014202
NO3,2,240,-0.7838616921776054,0.4175046782719299,-0.053376017558091196,0.2682019867081029
NO3,3,240,-0.0194797506307417,0.008244454180893,0.002583133517360856,0.0039055568711972824
PDO,1,240,-1.5887971262831062,0.9186901605321844,-0.007967150703968895,0.339420572718386
PDO,2,240,-0.6176740482907603,0.56892543746136,-0.006768276115114917,0.17722151224111224
PDO,3,240,-0.0147447611131866,0.0043626307449207,0.00015189682826768436,0.002795227567450989
MHW_CumInt,1,240,-0.4189407232111212,0.6811281969214003,-0.011151615365012671,0.20689459292219697
MHW_CumInt,2,240,-0.372664023477266,0.6070081591583307,-0.01357495434394147,0.25211263764752123
MHW_CumInt,3,240,-0.0027347491046014,0.0034055515748381,0.00018325009031352284,0.0011808628045062565
PO4,1,240,-1.0061320735921695,0.4738055972646771,0.0042955482756973275,0.1746126511586767
PO4,2,240,-1.923837624678212,0.8308741589431707,-0.015200025581209435,0.2832669898264249
PO4,3,240,-0.0213774333158194,0.0064234410660972,0.0015451541818446576,0.0034376919011574725
MHW_MaxInt,1,240,-0.446449927499595,0.1948921734932479,-0.004176341283722022,0.0786913106907386
MHW_MaxInt,2,240,-0.2047883299595042,0.3443640122908787,-0.010085081457382938,0.09234897058001235
MHW_MaxInt,3,240,-0.0038591904628412,0.0029476295897244,7.053477399278202e-05,0.0014853517276369466
WPI,1,240,-0.3069121590000259,0.2652404463257247,-0.003600496451886955,0.09132664471241177
WPI,2,240,-0.3176888579146938,0.2501422634543357,-0.004034909118132778,0.08429541253901209
WPI,3,240,-0.0017168435247187,0.0025330374730934,0.0003938591239916781,0.0007676699886965726
MHW_MeanInt,1,240,-0.2087463502050654,0.1759396850446516,-0.007451423493948381,0.06634588118036805
MHW_MeanInt,2,240,-0.1915178628008039,0.2200301319670851,-0.007321946392939615,0.08658644285624582
MHW_MeanInt,3,240,-0.0025701489541754,0.0041862606379968,0.0009035704239220534,0.001043346914780454
