Bootstrap_Run,Metric,Improvement,Positive_Means
10,Macro_AUPRC,0.07286880547540298,Higher CatBoost value is better
10,Log_Loss,0.03965283532188124,Lower CatBoost value is better
10,Multiclass_Brier_Score,0.02835276260133207,Lower CatBoost value is better
11,Accuracy,-0.008333333333333304,Higher CatBoost value is better
11,Balanced_Accuracy,-0.006724759480130182,Higher CatBoost value is better
11,Macro_F1,-0.006782351604578518,Higher CatBoost value is better
11,MCC,-0.018303286594096746,Higher CatBoost value is better
11,Macro_Specificity,-0.005260004081981573,Higher CatBoost value is better
11,Macro_AUROC,0.020911449168094842,Higher CatBoost value is better
11,Macro_AUPRC,0.016285996074204112,Higher CatBoost value is better
11,Log_Loss,-0.036961358527138555,Lower CatBoost value is better
11,Multiclass_Brier_Score,-0.02360290181503355,Lower CatBoost value is better
12,Accuracy,0.0,Higher CatBoost value is better
12,Balanced_Accuracy,-0.0010168307842726154,Higher CatBoost value is better
12,Macro_F1,0.004251589617762619,Higher CatBoost value is better
12,MCC,-0.010174985064838382,Higher CatBoost value is better
12,Macro_Specificity,-0.0019103373768533105,Higher CatBoost value is better
12,Macro_AUROC,0.026499920796595133,Higher CatBoost value is better
12,Macro_AUPRC,0.03345219422565071,Higher CatBoost value is better
12,Log_Loss,-0.006257906758745935,Lower CatBoost value is better
12,Multiclass_Brier_Score,-0.005536184028461122,Lower CatBoost value is better
13,Accuracy,0.029787234042553123,Higher CatBoost value is better
13,Balanced_Accuracy,0.028255676955196818,Higher CatBoost value is better
13,Macro_F1,0.03161740507898059,Higher CatBoost value is better
13,MCC,0.03631620199983143,Higher CatBoost value is better
13,Macro_Specificity,0.012338552817542037,Higher CatBoost value is better
13,Macro_AUROC,0.04102930766255708,Higher CatBoost value is better
13,Macro_AUPRC,0.05207962589960846,Higher CatBoost value is better
13,Log_Loss,0.010668485333394817,Lower CatBoost value is better
13,Multiclass_Brier_Score,0.024444434060166387,Lower CatBoost value is better
14,Accuracy,0.012765957446808418,Higher CatBoost value is better
14,Balanced_Accuracy,0.014886039886039981,Higher CatBoost value is better
14,Macro_F1,0.014444867861887256,Higher CatBoost value is better
14,MCC,0.010333231288650602,Higher CatBoost value is better
14,Macro_Specificity,0.003249856657543626,Higher CatBoost value is better
14,Macro_AUROC,0.013117357534744523,Higher CatBoost value is better
14,Macro_AUPRC,0.0016990795184115282,Higher CatBoost value is better
14,Log_Loss,-0.03900860547149698,Lower CatBoost value is better
14,Multiclass_Brier_Score,-0.019505377470572738,Lower CatBoost value is better
15,Accuracy,0.017021276595744594,Higher CatBoost value is better
15,Balanced_Accuracy,0.019173345906019157,Higher CatBoost value is better
15,Macro_F1,0.019941986105094678,Higher CatBoost value is better
15,MCC,0.014932213890288093,Higher CatBoost value is better
15,Macro_Specificity,0.00456664493753578,Higher CatBoost value is better
15,Macro_AUROC,0.025358299677465168,Higher CatBoost value is better
15,Macro_AUPRC,0.0276766158375662,Higher CatBoost value is better
15,Log_Loss,-0.003729670948034447,Lower CatBoost value is better
15,Multiclass_Brier_Score,-7.493517150536366e-05,Lower CatBoost value is better
16,Accuracy,0.025531914893616947,Higher CatBoost value is better
16,Balanced_Accuracy,0.024872274872274946,Higher CatBoost value is better
16,Macro_F1,0.030050819864826495,Higher CatBoost value is better
16,MCC,0.03139972877723185,Higher CatBoost value is better
16,Macro_Specificity,0.01197266712798839,Higher CatBoost value is better
16,Macro_AUROC,0.05354944637137837,Higher CatBoost value is better
16,Macro_AUPRC,0.07814409902407216,Higher CatBoost value is better
16,Log_Loss,0.027047793935542463,Lower CatBoost value is better
16,Multiclass_Brier_Score,0.02903033997682103,Lower CatBoost value is better
17,Accuracy,0.03829787234042559,Higher CatBoost value is better
17,Balanced_Accuracy,0.04003236906462726,Higher CatBoost value is better
17,Macro_F1,0.04317151756410531,Higher CatBoost value is better
17,MCC,0.04730195934223802,Higher CatBoost value is better
17,Macro_Specificity,0.01690525381127672,Higher CatBoost value is better
17,Macro_AUROC,0.022433827508083204,Higher CatBoost value is better
17,Macro_AUPRC,0.025970964720678058,Higher CatBoost value is better
17,Log_Loss,0.02657334941178846,Lower CatBoost value is better
17,Multiclass_Brier_Score,0.016259577110577683,Lower CatBoost value is better
18,Accuracy,0.0340425531914893,Higher CatBoost value is better
18,Balanced_Accuracy,0.04251467136150233,Higher CatBoost value is better
18,Macro_F1,0.03567032578101614,Higher CatBoost value is better
18,MCC,0.05094559485542072,Higher CatBoost value is better
18,Macro_Specificity,0.015657141951536446,Higher CatBoost value is better
