Model,State,Threshold,Model_Net_Benefit,Treat_All_Net_Benefit,Treat_None_Net_Benefit,State_Prevalence,Interpretation
CatBoost,1,0.01,0.31364710939179025,0.31227165269718465,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.02,0.31124620060790276,0.3052540165002171,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.03,0.3101996051765738,0.29809168677341524,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.04,0.30815602836879435,0.29078014184397166,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.05,0.3061590145576708,0.28331466965285557,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.060000000000000005,0.30556813037573566,0.27569035762788596,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.06999999999999999,0.30409517272935255,0.2679020819034546,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.08,0.29824236817761335,0.2599444958371878,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.09,0.2959551087210662,0.2518120177694646,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.09999999999999999,0.290307328605201,0.2434988179669031,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.11,0.2880229500358594,0.23499880468563233,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.12,0.2862669245647969,0.22630560928433271,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.13,0.2852042064074346,0.21741257031058941,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.14,0.28292924294903515,0.2083127164769916,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.15000000000000002,0.281351689612015,0.19899874843554444,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.16,0.2790273556231003,0.1894630192502533,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.17,0.2775185849782107,0.17969751345808768,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.18000000000000002,0.27514270887389725,0.16969382459782045,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.19,0.26945101129498295,0.15944313107433677,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.2,0.2680851063829787,0.14893617021276598,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.21000000000000002,0.26679235119849176,0.1381632103420415,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.22,0.26437534097108567,0.12711402073104203,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.23,0.2576402321083172,0.11577783918209453,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.24000000000000002,0.24927211646136616,0.10414333706606943,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.25,0.24964539007092196,0.09219858156028371,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.26,0.24726854514088553,0.07993099482461186,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.27,0.24482658117167005,0.06732730982220925,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.28,0.24231678486997632,0.05437352245862881,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.29000000000000004,0.23973629008091096,0.04105483967635598,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.3,0.2370820668693009,0.027355623100303927,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.31,0.23435090965155717,0.013259327782917052,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.32,0.23354192740926155,-0.0012515644555694538,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.33,0.23073991743410605,-0.016195617656398875,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.34,0.22785299806576398,-0.0315925209542231,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.35000000000000003,0.22716857610474628,-0.04746317512274961,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.36000000000000004,0.22420212765957442,-0.06382978723404259,0.0,0.3191489361702128,One-versus-rest ecological decision utility
CatBoost,1,0.37,0.2211415062478892,-0.0807159743329956,0.0,0.3191489361702128,One-versus-rest ecological decision utility
