Model,Metric,Bootstrap_Mean,Bootstrap_SD,CI_2_5,CI_97_5,Original_Estimate
TCN,Macro_Specificity,0.8695708999911537,0.01690015895155571,0.8370322476299016,0.9021605454736353,0.8687048106584035
TCN,Multiclass_Brier_Score,0.38184629073259946,0.030946158715960882,0.32113346296523787,0.439618332019854,0.3829605479865589
XGBoost,Accuracy,0.7327060836941458,0.03790711194506449,0.6583194444444445,0.8085106382978723,0.7319148936170212
XGBoost,Balanced_Accuracy,0.7470795263570853,0.03550610941489628,0.6759271109585262,0.8171838672844769,0.7460812730889458
XGBoost,Log_Loss,0.6187450348191271,0.06602749068138383,0.4911835854299646,0.7529429317617891,0.6198153673637228
XGBoost,MCC,0.6076344188280379,0.05631680682187591,0.4960514168905084,0.7194249117810985,0.6056928614780233
XGBoost,Macro_AUPRC,0.7816741485766265,0.04305704383445512,0.696483457636924,0.8631950018190119,0.7780790682855102
XGBoost,Macro_AUROC,0.8752614712155353,0.0231664912383313,0.8299546932119691,0.9192503949998984,0.8744074598345621
XGBoost,Macro_F1,0.7341463904173756,0.03684348200078936,0.6613089639596563,0.807870148810637,0.7339800117577896
XGBoost,Macro_Specificity,0.8668065166359283,0.018904653329417594,0.8290173251353612,0.9040320227294912,0.8660241579777508
XGBoost,Multiclass_Brier_Score,0.38056368646751504,0.04484886464194221,0.2908064950147557,0.47066975199381667,0.38131186628735325
