Model,Mean_Maximum_Probability,Median_Maximum_Probability,Mean_True_State_Probability,Mean_Probability_Margin,Mean_Normalized_Entropy,Correct_Mean_Confidence,Incorrect_Mean_Confidence,Below_0.50_Percent,Below_0.60_Percent,Below_0.70_Percent
CatBoost,0.7869727292288833,0.8305365566737654,0.6693761379859958,0.6155291244871869,0.4940468861157713,0.8148403944104761,0.7019283027264365,5.106382978723404,17.02127659574468,24.680851063829788
Equal Soft Voting,0.8137904702906865,0.8609542133604532,0.6840830898855399,0.6534662534326229,0.4317604146540773,0.8424199295963994,0.7283873374465262,2.9787234042553195,12.340425531914894,22.5531914893617
CNN-LSTM,0.7887506349289671,0.8375044465065002,0.6565846620008666,0.6217446971001064,0.48364203279542445,0.8093790513547984,0.7272150198281822,4.680851063829787,17.4468085106383,27.23404255319149
TCN,0.7738001494965655,0.7846540212631226,0.6473322243211751,0.590299009032389,0.5026094572282301,0.7963271761077574,0.7095427293269361,2.9787234042553195,17.02127659574468,34.46808510638298
XGBoost,0.7984146811860673,0.8359515070915222,0.6623927438354239,0.6248646551445919,0.46284530829483006,0.8241620136554851,0.728120376666387,2.9787234042553195,11.48936170212766,26.80851063829787
HistGradientBoosting,0.9024939553069645,0.9869176383464726,0.7204803878352,0.8100501574687091,0.20190731833586892,0.930381317033062,0.8263570312293651,0.851063829787234,6.382978723404255,15.319148936170212
Seasonal Baseline,0.7058027079303676,0.6818181818181818,0.615860735009671,0.474468085106383,0.6320860973170068,0.7434875066454013,0.6051136363636364,8.085106382978724,22.127659574468083,53.61702127659574
