Model,State,Point,Recall,Precision,Threshold,State_AUPRC,State_Prevalence
CatBoost,1,1,1.0,0.3191489361702128,0.0024698078288055,0.7129268140009529,0.3191489361702128
CatBoost,1,2,1.0,0.32051282051282054,0.0025881334398821,0.7129268140009529,0.3191489361702128
CatBoost,1,3,1.0,0.3218884120171674,0.003439139473201,0.7129268140009529,0.3191489361702128
CatBoost,1,4,1.0,0.3232758620689655,0.0036465103953993,0.7129268140009529,0.3191489361702128
CatBoost,1,5,1.0,0.3246753246753247,0.0043237867552355,0.7129268140009529,0.3191489361702128
CatBoost,1,6,1.0,0.32608695652173914,0.0048244210370375,0.7129268140009529,0.3191489361702128
CatBoost,1,7,1.0,0.32751091703056767,0.0053099925987605,0.7129268140009529,0.3191489361702128
CatBoost,1,8,1.0,0.32894736842105265,0.0053695748089369,0.7129268140009529,0.3191489361702128
CatBoost,1,9,1.0,0.3303964757709251,0.0054180006719664,0.7129268140009529,0.3191489361702128
CatBoost,1,10,1.0,0.33185840707964603,0.0055171153752069,0.7129268140009529,0.3191489361702128
CatBoost,1,11,1.0,0.3333333333333333,0.0057623163725257,0.7129268140009529,0.3191489361702128
CatBoost,1,12,1.0,0.33482142857142855,0.005807496517341,0.7129268140009529,0.3191489361702128
CatBoost,1,13,1.0,0.336322869955157,0.0058471121390977,0.7129268140009529,0.3191489361702128
CatBoost,1,14,1.0,0.33783783783783783,0.0070966282791473,0.7129268140009529,0.3191489361702128
CatBoost,1,15,1.0,0.3393665158371041,0.0074287635810836,0.7129268140009529,0.3191489361702128
CatBoost,1,16,1.0,0.3409090909090909,0.0077256781598831,0.7129268140009529,0.3191489361702128
CatBoost,1,17,1.0,0.3424657534246575,0.008064369934823,0.7129268140009529,0.3191489361702128
CatBoost,1,18,1.0,0.3440366972477064,0.0081220757824605,0.7129268140009529,0.3191489361702128
CatBoost,1,19,1.0,0.3456221198156682,0.0082166395086216,0.7129268140009529,0.3191489361702128
CatBoost,1,20,1.0,0.3472222222222222,0.0082984692348659,0.7129268140009529,0.3191489361702128
CatBoost,1,21,1.0,0.3488372093023256,0.0084285769494011,0.7129268140009529,0.3191489361702128
CatBoost,1,22,1.0,0.35046728971962615,0.0087279314103958,0.7129268140009529,0.3191489361702128
CatBoost,1,23,1.0,0.352112676056338,0.0088622119996955,0.7129268140009529,0.3191489361702128
CatBoost,1,24,1.0,0.35377358490566035,0.0092131488718003,0.7129268140009529,0.3191489361702128
CatBoost,1,25,1.0,0.35545023696682465,0.0093278103128086,0.7129268140009529,0.3191489361702128
CatBoost,1,26,1.0,0.35714285714285715,0.0095021646153541,0.7129268140009529,0.3191489361702128
CatBoost,1,27,1.0,0.3588516746411483,0.0095187652041106,0.7129268140009529,0.3191489361702128
CatBoost,1,28,1.0,0.3605769230769231,0.009545742895877,0.7129268140009529,0.3191489361702128
CatBoost,1,29,1.0,0.36231884057971014,0.0097258447858956,0.7129268140009529,0.3191489361702128
CatBoost,1,30,1.0,0.3640776699029126,0.0098359286434704,0.7129268140009529,0.3191489361702128
CatBoost,1,31,1.0,0.36585365853658536,0.0099441761516242,0.7129268140009529,0.3191489361702128
CatBoost,1,32,1.0,0.36764705882352944,0.0099648762548852,0.7129268140009529,0.3191489361702128
CatBoost,1,33,1.0,0.3694581280788177,0.0106776724550501,0.7129268140009529,0.3191489361702128
CatBoost,1,34,1.0,0.3712871287128713,0.0107284808735013,0.7129268140009529,0.3191489361702128
CatBoost,1,35,1.0,0.373134328358209,0.0108526372743144,0.7129268140009529,0.3191489361702128
CatBoost,1,36,1.0,0.375,0.0108746609740955,0.7129268140009529,0.3191489361702128
CatBoost,1,37,1.0,0.3768844221105528,0.0109053622784474,0.7129268140009529,0.3191489361702128
CatBoost,1,38,1.0,0.3787878787878788,0.0111873925798428,0.7129268140009529,0.3191489361702128
CatBoost,1,39,1.0,0.38071065989847713,0.0112824690211308,0.7129268140009529,0.3191489361702128
CatBoost,1,40,1.0,0.3826530612244898,0.0114393767903959,0.7129268140009529,0.3191489361702128
CatBoost,1,41,1.0,0.38461538461538464,0.0115600911547471,0.7129268140009529,0.3191489361702128
CatBoost,1,42,1.0,0.3865979381443299,0.0115665460873938,0.7129268140009529,0.3191489361702128
CatBoost,1,43,1.0,0.38860103626943004,0.0123881159880738,0.7129268140009529,0.3191489361702128
CatBoost,1,44,1.0,0.390625,0.0124243676570777,0.7129268140009529,0.3191489361702128
CatBoost,1,45,1.0,0.39267015706806285,0.0125440906487731,0.7129268140009529,0.3191489361702128
CatBoost,1,46,1.0,0.39473684210526316,0.012660875738285,0.7129268140009529,0.3191489361702128
CatBoost,1,47,1.0,0.3968253968253968,0.0128800065758652,0.7129268140009529,0.3191489361702128
CatBoost,1,48,1.0,0.39893617021276595,0.0129203563914073,0.7129268140009529,0.3191489361702128
CatBoost,1,49,1.0,0.40106951871657753,0.0130783464082041,0.7129268140009529,0.3191489361702128
CatBoost,1,50,1.0,0.4032258064516129,0.0134225093844628,0.7129268140009529,0.3191489361702128
CatBoost,1,51,1.0,0.40540540540540543,0.0134681255517291,0.7129268140009529,0.3191489361702128
CatBoost,1,52,1.0,0.4076086956521739,0.0140509232621776,0.7129268140009529,0.3191489361702128
CatBoost,1,53,1.0,0.4098360655737705,0.0142904457035849,0.7129268140009529,0.3191489361702128
CatBoost,1,54,1.0,0.41208791208791207,0.0143042969229641,0.7129268140009529,0.3191489361702128
CatBoost,1,55,1.0,0.4143646408839779,0.0151621154814248,0.7129268140009529,0.3191489361702128
CatBoost,1,56,1.0,0.4166666666666667,0.015368756175317,0.7129268140009529,0.3191489361702128
CatBoost,1,57,1.0,0.41899441340782123,0.0154004555462784,0.7129268140009529,0.3191489361702128
CatBoost,1,58,1.0,0.42134831460674155,0.0165851227386141,0.7129268140009529,0.3191489361702128
CatBoost,1,59,1.0,0.423728813559322,0.0166302656636337,0.7129268140009529,0.3191489361702128
CatBoost,1,60,1.0,0.42613636363636365,0.0166603667035443,0.7129268140009529,0.3191489361702128
CatBoost,1,61,1.0,0.42857142857142855,0.0168178453129283,0.7129268140009529,0.3191489361702128
CatBoost,1,62,1.0,0.43103448275862066,0.0170020979391867,0.7129268140009529,0.3191489361702128
CatBoost,1,63,1.0,0.43352601156069365,0.0175357523443542,0.7129268140009529,0.3191489361702128
CatBoost,1,64,1.0,0.436046511627907,0.0176766466358012,0.7129268140009529,0.3191489361702128
CatBoost,1,65,1.0,0.43859649122807015,0.0177502746784976,0.7129268140009529,0.3191489361702128
CatBoost,1,66,1.0,0.4411764705882353,0.0186336560217572,0.7129268140009529,0.3191489361702128
CatBoost,1,67,1.0,0.4437869822485207,0.0188892144602691,0.7129268140009529,0.3191489361702128
CatBoost,1,68,1.0,0.44642857142857145,0.0190417508540754,0.7129268140009529,0.3191489361702128
CatBoost,1,69,1.0,0.4491017964071856,0.0192973074626305,0.7129268140009529,0.3191489361702128
CatBoost,1,70,1.0,0.45180722891566266,0.0203881921221745,0.7129268140009529,0.3191489361702128
CatBoost,1,71,1.0,0.45454545454545453,0.0204907667218812,0.7129268140009529,0.3191489361702128
CatBoost,1,72,1.0,0.4573170731707317,0.0208805069361641,0.7129268140009529,0.3191489361702128
CatBoost,1,73,1.0,0.4601226993865031,0.0209674447220602,0.7129268140009529,0.3191489361702128
CatBoost,1,74,1.0,0.46296296296296297,0.021490102960953,0.7129268140009529,0.3191489361702128
CatBoost,1,75,1.0,0.4658385093167702,0.0220744961085835,0.7129268140009529,0.3191489361702128
CatBoost,1,76,1.0,0.46875,0.0224649991176087,0.7129268140009529,0.3191489361702128
CatBoost,1,77,1.0,0.4716981132075472,0.0227607935591707,0.7129268140009529,0.3191489361702128
CatBoost,1,78,1.0,0.47468354430379744,0.0231661971908293,0.7129268140009529,0.3191489361702128
CatBoost,1,79,1.0,0.47770700636942676,0.0232790352636525,0.7129268140009529,0.3191489361702128
CatBoost,1,80,1.0,0.4807692307692308,0.0247109102533291,0.7129268140009529,0.3191489361702128
CatBoost,1,81,1.0,0.4838709677419355,0.0251612597095702,0.7129268140009529,0.3191489361702128
CatBoost,1,82,1.0,0.487012987012987,0.0255793720876264,0.7129268140009529,0.3191489361702128
CatBoost,1,83,1.0,0.49019607843137253,0.0261382971565801,0.7129268140009529,0.3191489361702128
CatBoost,1,84,1.0,0.4934210526315789,0.0266013621879371,0.7129268140009529,0.3191489361702128
CatBoost,1,85,1.0,0.4966887417218543,0.0268982257197325,0.7129268140009529,0.3191489361702128
CatBoost,1,86,1.0,0.5,0.0270424700923262,0.7129268140009529,0.3191489361702128
CatBoost,1,87,1.0,0.5033557046979866,0.0277305446054911,0.7129268140009529,0.3191489361702128
CatBoost,1,88,1.0,0.5067567567567568,0.0281528670537864,0.7129268140009529,0.3191489361702128
CatBoost,1,89,1.0,0.5102040816326531,0.0284072769824779,0.7129268140009529,0.3191489361702128
