Metric,Mean_Improvement,Median_Improvement,CI_2_5,CI_97_5,Probability_Improvement_Positive,Bootstrap_Two_Sided_P,Positive_Means
Accuracy,0.02526994022760854,0.025531914893616947,0.0,0.051063829787234116,0.948,0.104,Higher CatBoost value is better
Balanced_Accuracy,0.026407382323084365,0.02642367202425633,-0.002654290000064241,0.054869019791179634,0.9595,0.081,Higher CatBoost value is better
Log_Loss,0.010260226425925589,0.011003290502471452,-0.049373676333963765,0.06452839628068026,0.645,0.71,Lower CatBoost value is better
MCC,0.030763276566236557,0.03094731878828688,-0.011388806444318996,0.07089050766158494,0.917,0.166,Higher CatBoost value is better
Macro_AUPRC,0.0379278010199835,0.03647899458590925,-0.008433046491746162,0.09131943238136835,0.936,0.128,Higher CatBoost value is better
Macro_AUROC,0.03142633391403598,0.031279284192491597,0.005607745728787053,0.060712142670651656,0.9915,0.017,Higher CatBoost value is better
Macro_F1,0.027632992972101703,0.027812390711387414,0.001210527538625894,0.05437169887210514,0.9795,0.041,Higher CatBoost value is better
Macro_Specificity,0.010780304899782081,0.010796516747412221,-0.003525849977546197,0.024237257844192776,0.9285,0.143,Higher CatBoost value is better
Multiclass_Brier_Score,0.010256403926255727,0.009990218808053786,-0.02527912909696877,0.04450996391753027,0.7125,0.575,Lower CatBoost value is better
