Year,Model,Number_of_Months,Accuracy,Balanced_Accuracy,Macro_F1,State_1_Recall,State_2_Recall,State_3_Recall
2003,CatBoost,7,0.7142857142857143,0.5333333333333333,0.5166666666666667,0.0,1.0,0.6
2003,Equal Soft Voting,7,0.7142857142857143,0.5333333333333333,0.5166666666666667,0.0,1.0,0.6
2003,CNN-LSTM,7,0.8571428571428571,0.6,0.562962962962963,0.0,1.0,0.8
2003,TCN,7,0.8571428571428571,0.6,0.562962962962963,0.0,1.0,0.8
2003,XGBoost,7,0.7142857142857143,0.5333333333333333,0.5166666666666667,0.0,1.0,0.6
2003,HistGradientBoosting,7,0.8571428571428571,0.6,0.562962962962963,0.0,1.0,0.8
2003,Seasonal Baseline,7,0.7142857142857143,0.5333333333333333,0.5166666666666667,0.0,1.0,0.6
2004,CatBoost,12,0.75,0.7999999999999999,0.7388888888888889,0.8,1.0,0.6
2004,Equal Soft Voting,12,0.75,0.7999999999999999,0.7388888888888889,0.8,1.0,0.6
2004,CNN-LSTM,12,0.75,0.8000000000000002,0.7388888888888889,0.6,1.0,0.8
2004,TCN,12,0.5,0.6,0.49927849927849927,0.2,1.0,0.6
2004,XGBoost,12,0.75,0.7999999999999999,0.7388888888888889,0.8,1.0,0.6
2004,HistGradientBoosting,12,0.75,0.7999999999999999,0.7388888888888889,0.8,1.0,0.6
2004,Seasonal Baseline,12,0.75,0.7999999999999999,0.7388888888888889,0.8,1.0,0.6
2005,CatBoost,12,0.9166666666666666,0.8888888888888888,0.903030303030303,1.0,0.6666666666666666,1.0
2005,Equal Soft Voting,12,0.9166666666666666,0.8888888888888888,0.903030303030303,1.0,0.6666666666666666,1.0
2005,CNN-LSTM,12,0.75,0.7388888888888889,0.7388888888888889,0.8,0.6666666666666666,0.75
2005,TCN,12,0.6666666666666666,0.6722222222222222,0.6666666666666666,0.6,0.6666666666666666,0.75
2005,XGBoost,12,0.8333333333333334,0.8055555555555555,0.810966810966811,1.0,0.6666666666666666,0.75
2005,HistGradientBoosting,12,0.9166666666666666,0.8888888888888888,0.903030303030303,1.0,0.6666666666666666,1.0
2005,Seasonal Baseline,12,0.8333333333333334,0.8055555555555555,0.810966810966811,1.0,0.6666666666666666,0.75
2006,CatBoost,12,0.9166666666666666,0.9166666666666666,0.9220779220779222,1.0,1.0,0.75
2006,Equal Soft Voting,12,0.9166666666666666,0.9166666666666666,0.9220779220779222,1.0,1.0,0.75
2006,CNN-LSTM,12,1.0,1.0,1.0,1.0,1.0,1.0
2006,TCN,12,0.9166666666666666,0.9333333333333332,0.9153439153439153,0.8,1.0,1.0
2006,XGBoost,12,0.9166666666666666,0.9166666666666666,0.9220779220779222,1.0,1.0,0.75
2006,HistGradientBoosting,12,0.9166666666666666,0.9166666666666666,0.9220779220779222,1.0,1.0,0.75
2006,Seasonal Baseline,12,0.8333333333333334,0.85,0.8380952380952381,0.8,1.0,0.75
2007,CatBoost,12,1.0,1.0,1.0,1.0,1.0,1.0
2007,Equal Soft Voting,12,1.0,1.0,1.0,1.0,1.0,1.0
2007,CNN-LSTM,12,0.9166666666666666,0.9166666666666666,0.9220779220779219,1.0,0.75,1.0
2007,TCN,12,0.9166666666666666,0.9333333333333332,0.9259259259259259,0.8,1.0,1.0
2007,XGBoost,12,1.0,1.0,1.0,1.0,1.0,1.0
2007,HistGradientBoosting,12,1.0,1.0,1.0,1.0,1.0,1.0
2007,Seasonal Baseline,12,0.9166666666666666,0.9166666666666666,0.9220779220779219,1.0,0.75,1.0
2008,CatBoost,12,0.8333333333333334,0.8666666666666667,0.832010582010582,1.0,1.0,0.6
2008,Equal Soft Voting,12,0.8333333333333334,0.8666666666666667,0.832010582010582,1.0,1.0,0.6
2008,CNN-LSTM,12,0.75,0.7833333333333333,0.7579365079365079,0.75,1.0,0.6
2008,TCN,12,0.8333333333333334,0.8666666666666667,0.832010582010582,1.0,1.0,0.6
2008,XGBoost,12,0.8333333333333334,0.8666666666666667,0.832010582010582,1.0,1.0,0.6
2008,HistGradientBoosting,12,0.75,0.7833333333333333,0.7579365079365079,0.75,1.0,0.6
2008,Seasonal Baseline,12,0.75,0.7555555555555555,0.7388888888888889,1.0,0.6666666666666666,0.6
2009,CatBoost,12,0.9166666666666666,0.9333333333333332,0.9153439153439153,0.8,1.0,1.0
2009,Equal Soft Voting,12,0.9166666666666666,0.9333333333333332,0.9153439153439153,0.8,1.0,1.0
2009,CNN-LSTM,12,0.9166666666666666,0.9333333333333332,0.9153439153439153,0.8,1.0,1.0
2009,TCN,12,0.9166666666666666,0.9333333333333332,0.9153439153439153,0.8,1.0,1.0
2009,XGBoost,12,0.9166666666666666,0.9333333333333332,0.9153439153439153,0.8,1.0,1.0
2009,HistGradientBoosting,12,0.9166666666666666,0.9333333333333332,0.9153439153439153,0.8,1.0,1.0
2009,Seasonal Baseline,12,0.9166666666666666,0.9166666666666666,0.9220779220779219,1.0,0.75,1.0
2010,CatBoost,12,0.9166666666666666,0.9166666666666666,0.9220779220779222,1.0,1.0,0.75
2010,Equal Soft Voting,12,0.9166666666666666,0.9166666666666666,0.9220779220779222,1.0,1.0,0.75
2010,CNN-LSTM,12,0.75,0.7666666666666666,0.7428571428571429,0.8,1.0,0.5
2010,TCN,12,0.75,0.7833333333333333,0.7777777777777777,0.6,1.0,0.75
2010,XGBoost,12,0.9166666666666666,0.9166666666666666,0.9220779220779222,1.0,1.0,0.75
2010,HistGradientBoosting,12,0.8333333333333334,0.85,0.85,0.8,1.0,0.75
