Months,Year,Month_Number,Model,True_State,Predicted_State,Correct,Maximum_Probability
2011-06-01,2011,6,CatBoost,2,2,True,0.7985394442281176
2011-07-01,2011,7,CatBoost,2,2,True,0.9399521629693708
2011-08-01,2011,8,CatBoost,2,2,True,0.5431129947738067
2011-09-01,2011,9,CatBoost,3,3,True,0.8936856777930855
2011-10-01,2011,10,CatBoost,3,3,True,0.8314442272058872
2011-11-01,2011,11,CatBoost,3,2,False,0.4786388126217628
2011-12-01,2011,12,CatBoost,1,1,True,0.7114020366517647
2012-01-01,2012,1,CatBoost,1,1,True,0.8090678707557135
2012-02-01,2012,2,CatBoost,3,1,False,0.8282624486366809
2012-03-01,2012,3,CatBoost,3,1,False,0.8467836234263495
2012-04-01,2012,4,CatBoost,1,1,True,0.7879773593615492
2012-05-01,2012,5,CatBoost,1,3,False,0.4202279102450869
2012-06-01,2012,6,CatBoost,2,2,True,0.8996034301978445
2012-07-01,2012,7,CatBoost,2,2,True,0.9205320777466532
2012-08-01,2012,8,CatBoost,2,3,False,0.5280040721316953
2012-09-01,2012,9,CatBoost,3,3,True,0.8781156373979574
2012-10-01,2012,10,CatBoost,3,3,True,0.8814313009041594
2012-11-01,2012,11,CatBoost,3,3,True,0.8175836877567165
2012-12-01,2012,12,CatBoost,3,1,False,0.6409948620399165
2013-01-01,2013,1,CatBoost,1,1,True,0.8398686822810126
2013-02-01,2013,2,CatBoost,3,1,False,0.7776581982996592
2013-03-01,2013,3,CatBoost,3,1,False,0.9025255588577988
2013-04-01,2013,4,CatBoost,1,1,True,0.8673830466240919
2013-05-01,2013,5,CatBoost,1,2,False,0.5716189046781226
2013-06-01,2013,6,CatBoost,2,2,True,0.937894972879462
2013-07-01,2013,7,CatBoost,2,2,True,0.9676273042265706
2013-08-01,2013,8,CatBoost,2,2,True,0.9271329829945276
2013-09-01,2013,9,CatBoost,3,3,True,0.8825684815283645
2013-10-01,2013,10,CatBoost,3,3,True,0.8810866344281499
2013-11-01,2013,11,CatBoost,3,3,True,0.8266517092150824
2013-12-01,2013,12,CatBoost,3,1,False,0.6472047398519205
2014-01-01,2014,1,CatBoost,3,1,False,0.8733210721128409
2014-02-01,2014,2,CatBoost,3,1,False,0.9538590934508128
2014-03-01,2014,3,CatBoost,3,1,False,0.9405639162418012
2014-04-01,2014,4,CatBoost,1,1,True,0.740374166720682
2014-05-01,2014,5,CatBoost,1,2,False,0.6281380715507356
2014-06-01,2014,6,CatBoost,2,2,True,0.9826136071457452
2014-07-01,2014,7,CatBoost,2,2,True,0.9762455169092478
2014-08-01,2014,8,CatBoost,2,2,True,0.8305365566737654
