Model,State,Threshold,TP,FN,FP,TN,Sensitivity,Specificity,Precision,F1,Youden_J,Predicted_Positive_Rate
CatBoost,2,0.62,49,19,10,157,0.7205882352941176,0.9401197604790419,0.8305084745762712,0.7716535433070865,0.6607079957731594,0.251063829787234
CatBoost,2,0.63,49,19,9,158,0.7205882352941176,0.9461077844311377,0.8448275862068966,0.7777777777777778,0.6666960197252554,0.24680851063829787
CatBoost,2,0.64,49,19,9,158,0.7205882352941176,0.9461077844311377,0.8448275862068966,0.7777777777777778,0.6666960197252554,0.24680851063829787
CatBoost,2,0.65,48,20,9,158,0.7058823529411765,0.9461077844311377,0.8421052631578947,0.7679999999999999,0.6519901373723143,0.2425531914893617
CatBoost,2,0.66,48,20,9,158,0.7058823529411765,0.9461077844311377,0.8421052631578947,0.7679999999999999,0.6519901373723143,0.2425531914893617
CatBoost,2,0.67,48,20,9,158,0.7058823529411765,0.9461077844311377,0.8421052631578947,0.7679999999999999,0.6519901373723143,0.2425531914893617
CatBoost,2,0.68,48,20,7,160,0.7058823529411765,0.9580838323353293,0.8727272727272727,0.7804878048780488,0.663966185276506,0.23404255319148937
CatBoost,2,0.6900000000000001,48,20,7,160,0.7058823529411765,0.9580838323353293,0.8727272727272727,0.7804878048780488,0.663966185276506,0.23404255319148937
CatBoost,2,0.7000000000000001,48,20,7,160,0.7058823529411765,0.9580838323353293,0.8727272727272727,0.7804878048780488,0.663966185276506,0.23404255319148937
CatBoost,2,0.7100000000000001,48,20,7,160,0.7058823529411765,0.9580838323353293,0.8727272727272727,0.7804878048780488,0.663966185276506,0.23404255319148937
CatBoost,2,0.72,48,20,7,160,0.7058823529411765,0.9580838323353293,0.8727272727272727,0.7804878048780488,0.663966185276506,0.23404255319148937
CatBoost,2,0.73,48,20,7,160,0.7058823529411765,0.9580838323353293,0.8727272727272727,0.7804878048780488,0.663966185276506,0.23404255319148937
CatBoost,2,0.74,48,20,7,160,0.7058823529411765,0.9580838323353293,0.8727272727272727,0.7804878048780488,0.663966185276506,0.23404255319148937
CatBoost,2,0.75,47,21,7,160,0.6911764705882353,0.9580838323353293,0.8703703703703703,0.7704918032786884,0.6492603029235646,0.2297872340425532
CatBoost,2,0.76,46,22,7,160,0.6764705882352942,0.9580838323353293,0.8679245283018868,0.7603305785123967,0.6345544205706235,0.225531914893617
CatBoost,2,0.77,46,22,7,160,0.6764705882352942,0.9580838323353293,0.8679245283018868,0.7603305785123967,0.6345544205706235,0.225531914893617
CatBoost,2,0.78,46,22,6,161,0.6764705882352942,0.9640718562874252,0.8846153846153846,0.7666666666666666,0.6405424445227195,0.22127659574468084
CatBoost,2,0.79,46,22,5,162,0.6764705882352942,0.9700598802395209,0.9019607843137255,0.773109243697479,0.6465304684748152,0.2170212765957447
CatBoost,2,0.8,44,24,5,162,0.6470588235294118,0.9700598802395209,0.8979591836734694,0.7521367521367522,0.6171187037689327,0.20851063829787234
CatBoost,2,0.81,44,24,4,163,0.6470588235294118,0.9760479041916168,0.9166666666666666,0.7586206896551724,0.6231067277210287,0.20425531914893616
CatBoost,2,0.8200000000000001,44,24,4,163,0.6470588235294118,0.9760479041916168,0.9166666666666666,0.7586206896551724,0.6231067277210287,0.20425531914893616
CatBoost,2,0.8300000000000001,43,25,4,163,0.6323529411764706,0.9760479041916168,0.9148936170212766,0.7478260869565218,0.6084008453680874,0.2
CatBoost,2,0.8400000000000001,42,26,4,163,0.6176470588235294,0.9760479041916168,0.9130434782608695,0.7368421052631579,0.5936949630151462,0.19574468085106383
CatBoost,2,0.85,41,27,2,165,0.6029411764705882,0.9880239520958084,0.9534883720930233,0.7387387387387387,0.5909651285663966,0.1829787234042553
CatBoost,2,0.86,41,27,2,165,0.6029411764705882,0.9880239520958084,0.9534883720930233,0.7387387387387387,0.5909651285663966,0.1829787234042553
CatBoost,2,0.87,40,28,2,165,0.5882352941176471,0.9880239520958084,0.9523809523809523,0.7272727272727274,0.5762592462134555,0.17872340425531916
CatBoost,2,0.88,38,30,2,165,0.5588235294117647,0.9880239520958084,0.95,0.7037037037037037,0.546847481507573,0.1702127659574468
CatBoost,2,0.89,35,33,2,165,0.5147058823529411,0.9880239520958084,0.9459459459459459,0.6666666666666665,0.5027298344487496,0.1574468085106383
CatBoost,2,0.9,32,36,1,166,0.47058823529411764,0.9940119760479041,0.9696969696969697,0.6336633663366337,0.4646002113420218,0.14042553191489363
CatBoost,2,0.91,31,37,1,166,0.45588235294117646,0.9940119760479041,0.96875,0.62,0.44989432898908066,0.13617021276595745
CatBoost,2,0.92,29,39,1,166,0.4264705882352941,0.9940119760479041,0.9666666666666667,0.5918367346938775,0.4204825642831982,0.1276595744680851
CatBoost,2,0.93,23,45,1,166,0.3382352941176471,0.9940119760479041,0.9583333333333334,0.5,0.3322472701655512,0.10212765957446808
CatBoost,2,0.9400000000000001,20,48,0,167,0.29411764705882354,1.0,1.0,0.45454545454545453,0.2941176470588236,0.0851063829787234
CatBoost,2,0.9500000000000001,18,50,0,167,0.2647058823529412,1.0,1.0,0.4186046511627907,0.2647058823529411,0.07659574468085106
CatBoost,2,0.9600000000000001,14,54,0,167,0.20588235294117646,1.0,1.0,0.34146341463414637,0.2058823529411764,0.059574468085106386
CatBoost,2,0.97,9,59,0,167,0.1323529411764706,1.0,1.0,0.23376623376623376,0.13235294117647056,0.03829787234042553
