Ecological_State,State_Name,DIATO,DINO,HAPTO,GREEN,PROKAR,PROCHLO
1,Diatom-associated early-year state,28.05945488218407,9.724885073515216,5.246471612063569,5.192626115660245,36.00535709231588,15.771205224261013
2,Mixed-prokaryote mid-year state,18.811887806051395,9.715387047429711,6.612430224053481,5.921963383616702,47.469748217938104,11.468583320910607
3,Prokaryote-dominated late-year state,12.884577063307352,5.955470192217938,4.312156338596216,4.682863036470417,57.280833404122525,14.884099965285557
