Months,PC1,PC2,PC3,PC4,PC5
2003-01-01,-0.6477506161147668,0.13545804168575376,-0.17508349323372704,-0.15292777841598126,-0.03801128459844384
2003-02-01,-0.6105873758391206,0.06813673268253426,-0.07650350702571257,0.045963363455772926,-0.15682775526201842
2003-03-01,-0.5626053729630865,0.10023429254454493,-0.20108954656831593,0.10878421307529541,-0.1103301715514531
2003-04-01,-0.6760003726560821,-0.3139779865096714,0.2948548118054131,-0.22091327505035235,0.2725876683605608
2003-05-01,-0.3782123139977323,-0.37988799508567206,0.15207220175062672,-0.05277042790990826,-0.13939327382666564
2003-06-01,0.07458680820595694,-0.35312665235635443,0.20588739535799475,-0.05604695083607109,0.09564060626831154
2003-07-01,-0.318799972460349,-0.3246023015844504,-0.22591423978806446,-0.40682693244069423,0.12192589111934675
2003-08-01,0.5914286682590244,-0.21989613897317833,0.0864143875064699,0.18279909429053448,0.026854593860593582
2003-09-01,0.6978255180483498,0.039529764682059154,0.035297655187822574,0.17480901158566864,0.084010951918496
2003-10-01,0.8490697651792044,0.26183936202438446,0.10724481818658177,0.14722555437996918,0.19694830145832196
2003-11-01,0.39659825093606654,0.3078673648724113,-0.03678129068473184,0.0007941929734540595,0.04846670952116321
2003-12-01,0.0807517753856096,0.26957295268957737,-0.12977241056742975,0.022226361462569538,-0.03855654859249596
2004-01-01,-0.35959054158310694,0.1790206475439725,-0.10294406407710589,-0.008195227538370105,0.015406603176543097
2004-02-01,-0.4496758701806692,0.21971026319661102,-0.002306923606856583,-0.047548845696642396,-0.02606703923564982
2004-03-01,-0.733596360893607,0.005002390628446872,0.15333880742848097,-0.07459298098085201,0.0176501071417547
2004-04-01,-0.6022678547874206,-0.019970762923993517,-0.0721423979039456,0.028985397377246806,0.05368625610327799
2004-05-01,-0.5359504772103306,-0.1968019085601304,-0.0748762879846099,-0.0665058255973123,-0.028168629668467924
2004-06-01,-0.01364030599640809,-0.49605373204167263,0.44022155175473954,-0.1347181002849331,0.24503629828499474
2004-07-01,0.2469030691879993,-0.33059426033093803,0.03999733780046097,0.0792623912713005,-0.05722821458261181
2004-08-01,0.6003837113335208,-0.25044282848873517,0.17865082773609653,0.1360238798112613,0.10091273267365279
2004-09-01,0.6876541022125826,0.10308221141086364,0.03189955115431306,0.11096331022261574,0.1021552490633843
2004-10-01,0.8961063430908259,0.30203523611937466,0.08410015835771989,0.19951549047534595,0.14347360865202693
2004-11-01,0.5849311157230339,0.3167404738516877,-0.012395106076868858,0.12088135242646611,0.08281559444666932
2004-12-01,0.12867341411196548,0.2267727482779915,0.05285158065579947,-0.05443117294938211,0.11600147706112873
2005-01-01,-0.4680182613783465,0.318001633871949,-0.2431383570828853,-0.010239351840414936,-0.005782353121344903
2005-02-01,-0.8789616706534729,0.289280021753456,-0.18142740267949525,0.06034464312676523,0.023125283351893223
2005-03-01,-0.7546640451288116,0.016546269675434797,-0.14400675723718254,-0.023740544492775264,-0.2460329154561301
2005-04-01,-0.6454271884278804,-0.09858971839090334,-0.0008203822198423315,-0.02770687941001877,-0.020577572109411236
2005-05-01,-0.40922239895795404,-0.3642514380381827,0.18105460724176858,-0.10181865018934949,-0.08623263511686194
2005-06-01,-0.01823143964602294,-0.6303446592203726,0.31115019588945453,-0.13789935733817762,0.14791390739332644
2005-07-01,0.17636698700921127,-0.5831264418609277,0.20727435171467148,-0.07108354403304327,-0.015117857430036186
2005-08-01,0.47908334094487626,-0.05976582649450366,-0.09436333779437077,0.05959202203747851,-0.026283077763755797
2005-09-01,0.7562004400596204,-3.307671921548051e-05,0.08586644543847026,0.18383272029170095,0.06694012057017552
2005-10-01,1.066943713895782,0.348889911394957,0.08431827157650272,0.2733536307097012,0.14690823667704234
2005-11-01,0.5437484853295448,0.2917395853329826,0.159189891392812,-0.033852026244033204,0.26213134428121204
2005-12-01,-0.1009808522715877,0.22217805197399165,-0.1695804148397841,0.013315617675227799,0.013610535916463325
