Component,Explained_Variance_Percent,Cumulative_Variance_Percent
PC1,59.246120390668864,59.246120390668864
PC2,26.225448070908197,85.47156846157706
PC3,7.090806560272221,92.56237502184929
PC4,4.300233987343861,96.86260900919315
PC5,3.1373909908068445,100.0
