Solution,Method,K,Mean_ARI,Median_ARI,SD_ARI,Minimum_ARI,ARI_Above_0_80_Percent
"GMM, K=2",GMM,2,0.6601980497674966,0.6519562292831089,0.18414324252981693,0.10203060021032974,28.999999999999996
"GMM, K=3",GMM,3,0.6035456219214812,0.5476266095563791,0.21198825392456572,0.21945040759621703,27.500000000000004
"K-means, K=2",K-means,2,0.9201163477004991,0.9341616189614786,0.06349334323221661,0.7356494544218465,99.0
"K-means, K=3",K-means,3,0.8457420379990193,0.9185183896928353,0.16127710206695003,0.3010297194362598,66.5
