Phytoplankton_Group,PC1,PC2,PC3,PC4,PC5
DIATO,-0.6173599953687047,0.1591296837860347,-0.47287891387332454,-0.45060431399901535,0.014798588084855836
DINO,-0.23121954871129943,-0.35270323626233246,-0.1938255250128753,0.7706066187816016,0.15513989074581566
HAPTO,-0.0032447046369931433,-0.46546171022789823,0.37328795612862026,-0.203481432175987,-0.6602420844703847
GREEN,0.034289879445517535,-0.0816903439296613,0.5372540122012671,-0.24711352696325625,0.6897660881596164
PROKAR,0.7479106719692499,-0.04952589784509286,-0.4968207895682204,-0.14932448048124375,0.0488000831176888
PROCHLO,0.06962369730222961,0.7902515044789516,0.25298326012453165,0.27991713483790026,-0.24826256563759228
