Months,DIATO_CLR,DINO_CLR,HAPTO_CLR,GREEN_CLR,PROKAR_CLR,PROCHLO_CLR
2003-01-01,0.8803498110808785,-0.18799463853544696,-0.6477767425296581,-1.2079661473516388,1.3588126211609983,-0.1954249038251321
2003-02-01,0.7015701530155676,-0.05808842054168473,-0.5447306995089969,-1.2752156912044423,1.3126456623642633,-0.13618100412470557
2003-03-01,0.701262376194937,-0.0016336994286825224,-0.6526125360617838,-1.322719805580412,1.4089503971992081,-0.13324673232326623
2003-04-01,0.6179835917724863,-0.12094510493952892,-0.4627252742757726,-0.6771362502269365,1.1734710782572524,-0.5306480405875011
2003-05-01,0.4022240438993794,-0.0740048300442151,-0.25109225234132904,-1.0606369432159894,1.4325278573643072,-0.449017875662153
2003-06-01,0.09934712974107418,-0.1653707881823081,-0.40193230754337916,-0.8523645122321435,1.7624818872631196,-0.44216140904636214
2003-07-01,0.7022912609797818,-0.26771214312169,-0.5235234696298812,-0.9925115430445017,1.7424855681748206,-0.6610296733585277
2003-08-01,-0.26481183616367154,-0.13667339677381785,-0.5181713280698386,-1.010748607921704,2.1776384934774136,-0.24723332454837976
2003-09-01,-0.2674819020285564,-0.24073005075340692,-0.6966307005085741,-1.0120909550714674,2.2810734795152365,-0.06413987115323172
2003-10-01,-0.35198649672124516,-0.3722323650690944,-0.8445250026527429,-0.8998884532480358,2.364200761684148,0.10443155600697196
2003-11-01,0.060577874135024246,-0.3920070764024999,-0.7915629305362359,-1.0617672796460846,2.1164937361842,0.0682656762655971
2003-12-01,0.27753637826763544,-0.2840175134246099,-0.7541335750261289,-1.1855234799785057,1.927405588853493,0.01873260130811394
2004-01-01,0.5329072629900553,-0.16908089093595402,-0.7286586888213114,-1.1386547764170696,1.602467224923609,-0.09898013173932929
2004-02-01,0.5605097948901328,-0.21729601865092185,-0.6735819253014608,-1.1148483789533885,1.4928470457016374,-0.04763051768599835
2004-03-01,0.636557040869169,-0.118683160498676,-0.537606810638767,-0.9914035374490622,1.2255670159592422,-0.21443054824190444
2004-04-01,0.6079952838709073,-0.00971277424305983,-0.655665637375336,-1.1115342904929744,1.4284478083436711,-0.2595303901032078
2004-05-01,0.5792510839170761,-0.04674440582761319,-0.5019344513949666,-1.1340144220060413,1.502262664463171,-0.3988204691516266
2004-06-01,-0.00023475673717987533,-0.1697257255692115,-0.339394933893888,-0.6147352694078974,1.6770249845880478,-0.5529342989798733
2004-07-01,-0.044809057654121354,-0.08990611582979247,-0.4110861072575265,-1.1008935701727482,2.015413860868402,-0.3687190099542126
2004-08-01,-0.33565086323985316,-0.1555323159505302,-0.5135134962089407,-0.9306004346650365,2.203913724622101,-0.26861661455773866
2004-09-01,-0.2476053547344268,-0.28844625771839816,-0.7279307490997651,-1.0322573638306687,2.3244900242492217,-0.028250298865962087
2004-10-01,-0.40284076612084707,-0.34033943750597073,-0.8461569352637515,-1.0089499628367036,2.4284289902287934,0.16985811149847896
2004-11-01,-0.12250856261050602,-0.32393005093628124,-0.8322179359444482,-1.0947939247004936,2.2465258792623612,0.12692459492936958
2004-12-01,0.19858067984928063,-0.3293349200364841,-0.7525309714034916,-0.9990125781726014,1.9004008442475389,-0.018103054484241987
2005-01-01,0.7045617132714375,-0.15180830340130314,-0.8354253057053889,-1.2764411093988945,1.5799672711640567,-0.020854265929907356
