Phytoplankton_Group,N,Mean,SD,Median,Min,Q1,Q3,Max
DIATO,240,19.5837,13.0738,18.1613,3.1092,7.7663,27.5536,63.1055
DINO,240,8.2772,3.1670,8.5007,1.7355,5.8562,10.6737,15.6582
HAPTO,240,5.2810,1.6741,5.1406,2.4932,3.8627,6.3724,10.5925
GREEN,240,5.2069,2.3741,4.1235,1.9535,3.2208,7.5528,10.6799
PROKAR,240,47.4570,22.6817,53.2972,3.8585,25.5657,67.8052,78.1191
PROCHLO,240,14.1941,7.8252,11.1736,5.1764,8.4919,17.9112,38.4251
