Model,Accuracy,Balanced_Accuracy,Macro_Precision,Macro_F1,MCC,Cohen_Kappa,Macro_Specificity,Macro_AUROC,Macro_AUPRC,Log_Loss,Multiclass_Brier_Score,State_1_Recall,State_2_Recall,State_3_Recall
CatBoost,0.7531914893617021,0.7687610116510372,0.7590519624101714,0.7539961013645224,0.6406508923664249,0.6312728256458813,0.877096506288123,0.8907893855811947,0.7844939247422965,0.5841882687833169,0.35049492836306306,0.9066666666666666,0.8235294117647058,0.5760869565217391
Equal Soft Voting,0.7489361702127659,0.7617590224495595,0.7555607336831446,0.7508633346066156,0.6314939376131323,0.6239388103827064,0.8743431842608489,0.8933627534604035,0.7978847372108193,0.59565704517305,0.3603320536777626,0.8933333333333333,0.7941176470588235,0.5978260869565217
CNN-LSTM,0.7489361702127659,0.7596589940323956,0.7522676896845694,0.7508218856404838,0.6281770376862401,0.6232439335887612,0.8739351716148124,0.8743839970843164,0.7774976686378968,0.6433354769052682,0.3824161664871234,0.88,0.7794117647058824,0.6195652173913043
TCN,0.7404255319148936,0.7484938903097471,0.7411220818341562,0.7439528981173055,0.6098311740790368,0.6091129713958499,0.8687048106584035,0.874114339828561,0.7835695050125161,0.6474261429552794,0.3829605479865589,0.7333333333333333,0.8382352941176471,0.6739130434782609
XGBoost,0.7319148936170212,0.7460812730889458,0.7364012630141662,0.7339800117577896,0.6056928614780233,0.5989326542775099,0.8660241579777508,0.8744074598345621,0.7780790682855102,0.6198153673637227,0.38131186628735325,0.8533333333333334,0.8088235294117647,0.5760869565217391
Seasonal Baseline,0.7276595744680852,0.7419067917021881,0.7441387989931679,0.7259849060854383,0.6094485754786885,0.5944342573616654,0.8661841526736737,0.8583861900288038,0.7493419676801397,0.5945720556354153,0.3608580974151574,0.9066666666666666,0.7647058823529411,0.5543478260869565
HistGradientBoosting,0.7319148936170212,0.7385961921000285,0.7344808608354051,0.7361778755980118,0.5958789890107972,0.5955360069937712,0.8637078116494284,0.8821475509089488,0.7820675391554114,1.0105074246387842,0.42377984081898523,0.7733333333333333,0.7794117647058824,0.6630434782608695
