Model,Accuracy,Balanced accuracy,Macro-F1,Macro-AUROC,Macro-AUPRC
CatBoost,0.7531914893617021,0.7687610116510372,0.7539961013645224,0.8907893855811947,0.7844939247422965
XGBoost,0.7319148936170212,0.7460812730889458,0.7339800117577896,0.8744074598345621,0.7780790682855102
HistGradientBoosting,0.7319148936170212,0.7385961921000285,0.7361778755980118,0.8821475509089488,0.7820675391554114
Soft Voting,0.7489361702127659,0.7617590224495595,0.7508633346066156,0.8933627534604035,0.7978847372108193
TCN,0.7404255319148936,0.7484938903097471,0.7439528981173055,0.874114339828561,0.7835695050125161
CNN-LSTM,0.7489361702127659,0.7596589940323956,0.7508218856404838,0.8743839970843164,0.7774976686378968
