Run_Type,Outer_Test_Year,Model,Epoch,Training_Loss,Validation_Loss,Training_Accuracy,Validation_Accuracy,Learning_Rate
Outer_LOYO,2003,TCN,1,1.2382172346115112,1.019957423210144,0.38749998807907104,0.5625,0.0010000000474974513
Outer_LOYO,2003,TCN,2,0.9501379132270813,0.9623472690582275,0.543749988079071,0.7083333134651184,0.0010000000474974513
Outer_LOYO,2003,TCN,3,0.764838457107544,0.9236748814582825,0.6875,0.7291666865348816,0.0010000000474974513
Outer_LOYO,2003,TCN,4,0.718999981880188,0.8828573822975159,0.6812499761581421,0.6875,0.0010000000474974513
Outer_LOYO,2003,TCN,5,0.6206983327865601,0.8299975991249084,0.737500011920929,0.7291666865348816,0.0010000000474974513
Outer_LOYO,2003,TCN,6,0.5866856575012207,0.7942321300506592,0.7437499761581421,0.75,0.0010000000474974513
Outer_LOYO,2003,TCN,7,0.5498283505439758,0.7623770833015442,0.7437499761581421,0.7708333134651184,0.0010000000474974513
Outer_LOYO,2003,TCN,8,0.5573806762695312,0.7408067584037781,0.7562500238418579,0.7291666865348816,0.0010000000474974513
Outer_LOYO,2003,TCN,9,0.5268908143043518,0.7210021018981934,0.762499988079071,0.7291666865348816,0.0010000000474974513
Outer_LOYO,2003,TCN,10,0.5055602788925171,0.7048909664154053,0.7562500238418579,0.7291666865348816,0.0010000000474974513
Outer_LOYO,2003,TCN,11,0.47638139128685,0.6594009399414062,0.8062499761581421,0.75,0.0010000000474974513
Outer_LOYO,2003,TCN,12,0.46355897188186646,0.6389479041099548,0.737500011920929,0.7916666865348816,0.0010000000474974513
Outer_LOYO,2003,TCN,13,0.40596818923950195,0.6406646966934204,0.8125,0.75,0.0010000000474974513
Outer_LOYO,2003,TCN,14,0.44178837537765503,0.624968409538269,0.78125,0.75,0.0010000000474974513
Outer_LOYO,2003,TCN,15,0.3930450975894928,0.6024869084358215,0.8374999761581421,0.7708333134651184,0.0010000000474974513
Outer_LOYO,2003,TCN,16,0.4208509027957916,0.5956513285636902,0.800000011920929,0.75,0.0010000000474974513
Outer_LOYO,2003,TCN,17,0.40178585052490234,0.5791869163513184,0.84375,0.7708333134651184,0.0010000000474974513
Outer_LOYO,2003,TCN,18,0.35757023096084595,0.5859028100967407,0.824999988079071,0.7708333134651184,0.0010000000474974513
Outer_LOYO,2003,TCN,19,0.35571402311325073,0.5983672738075256,0.862500011920929,0.75,0.0010000000474974513
Outer_LOYO,2003,TCN,20,0.36175525188446045,0.5648769736289978,0.862500011920929,0.75,0.0010000000474974513
Outer_LOYO,2003,TCN,21,0.3049249053001404,0.5207118391990662,0.887499988079071,0.7916666865348816,0.0010000000474974513
Outer_LOYO,2003,TCN,22,0.37544146180152893,0.5310420393943787,0.831250011920929,0.7916666865348816,0.0010000000474974513
Outer_LOYO,2003,TCN,23,0.34228044748306274,0.5587437152862549,0.8687499761581421,0.75,0.0010000000474974513
Outer_LOYO,2003,TCN,24,0.34848660230636597,0.5778911709785461,0.8187500238418579,0.7291666865348816,0.0010000000474974513
Outer_LOYO,2003,TCN,25,0.43159356713294983,0.5646445155143738,0.8062499761581421,0.7708333134651184,0.0010000000474974513
Outer_LOYO,2003,TCN,26,0.30585601925849915,0.5862568020820618,0.875,0.75,0.0010000000474974513
Outer_LOYO,2003,TCN,27,0.3099045753479004,0.5706454515457153,0.862500011920929,0.7708333134651184,0.0010000000474974513
Outer_LOYO,2003,TCN,28,0.3040526509284973,0.580808699131012,0.8687499761581421,0.7916666865348816,0.0005000000237487257
Outer_LOYO,2003,TCN,29,0.3089577555656433,0.6097284555435181,0.8812500238418579,0.7916666865348816,0.0005000000237487257
Outer_LOYO,2003,TCN,30,0.27308493852615356,0.6219841837882996,0.875,0.75,0.0005000000237487257
Outer_LOYO,2003,TCN,31,0.2839263677597046,0.6132732033729553,0.8812500238418579,0.75,0.0005000000237487257
Outer_LOYO,2003,TCN,32,0.275810569524765,0.5884510278701782,0.893750011920929,0.7708333134651184,0.0005000000237487257
Outer_LOYO,2003,TCN,33,0.296378493309021,0.5705966949462891,0.893750011920929,0.7708333134651184,0.0005000000237487257
Outer_LOYO,2003,TCN,34,0.26770585775375366,0.5650807023048401,0.856249988079071,0.7916666865348816,0.0005000000237487257
Outer_LOYO,2003,TCN,35,0.2982305884361267,0.5829072594642639,0.8687499761581421,0.7708333134651184,0.0002500000118743628
Outer_LOYO,2003,TCN,36,0.33154815435409546,0.6065600514411926,0.8500000238418579,0.7083333134651184,0.0002500000118743628
Outer_LOYO,2003,TCN,37,0.23733723163604736,0.6190736293792725,0.8999999761581421,0.6666666865348816,0.0002500000118743628
Outer_LOYO,2003,TCN,38,0.27083975076675415,0.6224592328071594,0.90625,0.6666666865348816,0.0002500000118743628
Outer_LOYO,2003,TCN,39,0.23864202201366425,0.6205511689186096,0.9125000238418579,0.6875,0.0002500000118743628
Outer_LOYO,2003,TCN,40,0.28846094012260437,0.6216014623641968,0.893750011920929,0.6875,0.0002500000118743628
Outer_LOYO,2003,TCN,41,0.23496799170970917,0.6298754215240479,0.8812500238418579,0.6666666865348816,0.0002500000118743628
Outer_LOYO,2003,CNN-LSTM,1,1.017879605293274,1.003400444984436,0.5375000238418579,0.75,0.000699999975040555
Outer_LOYO,2003,CNN-LSTM,2,0.9174679517745972,0.9336486458778381,0.59375,0.7916666865348816,0.000699999975040555
Outer_LOYO,2003,CNN-LSTM,3,0.7942379117012024,0.8522340655326843,0.71875,0.7708333134651184,0.000699999975040555
Outer_LOYO,2003,CNN-LSTM,4,0.7458029389381409,0.7792410850524902,0.6937500238418579,0.7916666865348816,0.000699999975040555
Outer_LOYO,2003,CNN-LSTM,5,0.6653558015823364,0.715191662311554,0.75,0.7916666865348816,0.000699999975040555
Outer_LOYO,2003,CNN-LSTM,6,0.6066070199012756,0.6590035557746887,0.7562500238418579,0.8125,0.000699999975040555
Outer_LOYO,2003,CNN-LSTM,7,0.5895635485649109,0.6263799071311951,0.7562500238418579,0.7916666865348816,0.000699999975040555
