Year,Model,N,Accuracy,Balanced_Accuracy,Macro_F1
2003,CatBoost,7,0.7142857142857143,0.8,0.5166666666666667
2003,XGBoost,7,0.7142857142857143,0.8,0.5166666666666667
2003,HistGradientBoosting,7,0.8571428571428571,0.9,0.8444444444444444
2003,Soft Voting,7,0.7142857142857143,0.8,0.5166666666666667
2003,TCN,7,0.8571428571428571,0.9,0.8444444444444444
2003,CNN-LSTM,7,0.8571428571428571,0.9,0.8444444444444444
2004,CatBoost,12,0.75,0.7999999999999999,0.7388888888888889
2004,XGBoost,12,0.75,0.7999999999999999,0.7388888888888889
2004,HistGradientBoosting,12,0.75,0.7999999999999999,0.7388888888888889
2004,Soft Voting,12,0.75,0.7999999999999999,0.7388888888888889
2004,TCN,12,0.5,0.6,0.49927849927849927
2004,CNN-LSTM,12,0.75,0.8000000000000002,0.7388888888888889
2005,CatBoost,12,0.9166666666666666,0.8888888888888888,0.903030303030303
2005,XGBoost,12,0.8333333333333334,0.8055555555555555,0.810966810966811
2005,HistGradientBoosting,12,0.9166666666666666,0.8888888888888888,0.903030303030303
2005,Soft Voting,12,0.9166666666666666,0.8888888888888888,0.903030303030303
2005,TCN,12,0.6666666666666666,0.6722222222222222,0.6666666666666666
2005,CNN-LSTM,12,0.75,0.7388888888888889,0.7388888888888889
2006,CatBoost,12,0.9166666666666666,0.9166666666666666,0.9220779220779222
2006,XGBoost,12,0.9166666666666666,0.9166666666666666,0.9220779220779222
2006,HistGradientBoosting,12,0.9166666666666666,0.9166666666666666,0.9220779220779222
2006,Soft Voting,12,0.9166666666666666,0.9166666666666666,0.9220779220779222
2006,TCN,12,0.9166666666666666,0.9333333333333332,0.9153439153439153
2006,CNN-LSTM,12,1.0,1.0,1.0
2007,CatBoost,12,1.0,1.0,1.0
2007,XGBoost,12,1.0,1.0,1.0
2007,HistGradientBoosting,12,1.0,1.0,1.0
2007,Soft Voting,12,1.0,1.0,1.0
2007,TCN,12,0.9166666666666666,0.9333333333333332,0.9259259259259259
2007,CNN-LSTM,12,0.9166666666666666,0.9166666666666666,0.9220779220779219
2008,CatBoost,12,0.8333333333333334,0.8666666666666667,0.832010582010582
2008,XGBoost,12,0.8333333333333334,0.8666666666666667,0.832010582010582
2008,HistGradientBoosting,12,0.75,0.7833333333333333,0.7579365079365079
2008,Soft Voting,12,0.8333333333333334,0.8666666666666667,0.832010582010582
2008,TCN,12,0.8333333333333334,0.8666666666666667,0.832010582010582
2008,CNN-LSTM,12,0.75,0.7833333333333333,0.7579365079365079
2009,CatBoost,12,0.9166666666666666,0.9333333333333332,0.9153439153439153
2009,XGBoost,12,0.9166666666666666,0.9333333333333332,0.9153439153439153
2009,HistGradientBoosting,12,0.9166666666666666,0.9333333333333332,0.9153439153439153
2009,Soft Voting,12,0.9166666666666666,0.9333333333333332,0.9153439153439153
2009,TCN,12,0.9166666666666666,0.9333333333333332,0.9153439153439153
2009,CNN-LSTM,12,0.9166666666666666,0.9333333333333332,0.9153439153439153
2010,CatBoost,12,0.9166666666666666,0.9166666666666666,0.9220779220779222
2010,XGBoost,12,0.9166666666666666,0.9166666666666666,0.9220779220779222
2010,HistGradientBoosting,12,0.8333333333333334,0.85,0.85
2010,Soft Voting,12,0.9166666666666666,0.9166666666666666,0.9220779220779222
2010,TCN,12,0.75,0.7833333333333333,0.7777777777777777
2010,CNN-LSTM,12,0.75,0.7666666666666666,0.7428571428571429
2011,CatBoost,12,0.9166666666666666,0.8888888888888888,0.8962962962962964
2011,XGBoost,12,0.9166666666666666,0.9166666666666666,0.9220779220779219
2011,HistGradientBoosting,12,0.75,0.7222222222222222,0.7157287157287157
2011,Soft Voting,12,0.75,0.7222222222222222,0.7157287157287157
2011,TCN,12,0.5833333333333334,0.65,0.5786435786435786
2011,CNN-LSTM,12,0.8333333333333334,0.8333333333333334,0.810966810966811
2012,CatBoost,12,0.5833333333333334,0.611111111111111,0.6151515151515151
2012,XGBoost,12,0.5833333333333334,0.611111111111111,0.5888888888888889
2012,HistGradientBoosting,12,0.6666666666666666,0.6111111111111112,0.6380952380952382
2012,Soft Voting,12,0.6666666666666666,0.6666666666666666,0.6793650793650793
2012,TCN,12,0.6666666666666666,0.7222222222222222,0.6746031746031745
2012,CNN-LSTM,12,0.75,0.8333333333333334,0.7777777777777777
2013,CatBoost,12,0.6666666666666666,0.7222222222222222,0.6746031746031745
