Run_Type,Test_Year,Model,Best_Inner_Balanced_Accuracy,Best_Parameters
Outer_LOYO,2010,CatBoost,0.7904626762985897,"{""iterations"": 550, ""depth"": 4, ""learning_rate"": 0.02419635528277677, ""l2_leaf_reg"": 2.7372907301101246, ""random_strength"": 1.5400177039654792, ""bagging_temperature"": 2.938171793993326, ""border_count"": 64}"
Outer_LOYO,2010,XGBoost,0.7645598985208119,"{""n_estimators"": 750, ""max_depth"": 7, ""learning_rate"": 0.04116773936901975, ""min_child_weight"": 8.581606975584368, ""subsample"": 0.6536955468400415, ""colsample_bytree"": 0.7898451326806778, ""gamma"": 1.2777747889826536, ""reg_alpha"": 0.6675156293197672, ""reg_lambda"": 10.431187075264114}"
Outer_LOYO,2010,HistGradientBoosting,0.7812750375269725,"{""max_iter"": 300, ""learning_rate"": 0.07763933159346732, ""max_leaf_nodes"": 7, ""max_depth"": 4, ""min_samples_leaf"": 11, ""l2_regularization"": 0.08734444858746551}"
Outer_LOYO,2011,CatBoost,0.7762715043384548,"{""iterations"": 400, ""depth"": 7, ""learning_rate"": 0.019439844689100132, ""l2_leaf_reg"": 3.2832625201267485, ""random_strength"": 1.5564549749597192, ""bagging_temperature"": 0.7220228295856329, ""border_count"": 64}"
Outer_LOYO,2011,XGBoost,0.7757555084664218,"{""n_estimators"": 800, ""max_depth"": 4, ""learning_rate"": 0.030143262589244893, ""min_child_weight"": 7.308629852733398, ""subsample"": 0.8654637507384407, ""colsample_bytree"": 0.9272148308871848, ""gamma"": 0.3326870555686048, ""reg_alpha"": 0.0738343640243442, ""reg_lambda"": 9.057822185323507}"
Outer_LOYO,2011,HistGradientBoosting,0.7663788471160762,"{""max_iter"": 400, ""learning_rate"": 0.03202813342609786, ""max_leaf_nodes"": 25, ""max_depth"": 6, ""min_samples_leaf"": 14, ""l2_regularization"": 0.05558402148662094}"
Outer_LOYO,2012,CatBoost,0.7961568831924869,"{""iterations"": 800, ""depth"": 3, ""learning_rate"": 0.02066740690412553, ""l2_leaf_reg"": 12.30617600048106, ""random_strength"": 0.846555503664969, ""bagging_temperature"": 2.6680526319787017, ""border_count"": 64}"
Outer_LOYO,2012,XGBoost,0.7959060192903072,"{""n_estimators"": 600, ""max_depth"": 5, ""learning_rate"": 0.0223443770582105, ""min_child_weight"": 1.475485708409522, ""subsample"": 0.7064222939194544, ""colsample_bytree"": 0.9195006921450768, ""gamma"": 1.4179870875297071, ""reg_alpha"": 0.000550395933870515, ""reg_lambda"": 0.10152665424866694}"
Outer_LOYO,2012,HistGradientBoosting,0.7881455779772343,"{""max_iter"": 350, ""learning_rate"": 0.037082495895652594, ""max_leaf_nodes"": 15, ""max_depth"": 7, ""min_samples_leaf"": 10, ""l2_regularization"": 0.001971522957169377}"
Outer_LOYO,2013,CatBoost,0.7867818831924869,"{""iterations"": 600, ""depth"": 4, ""learning_rate"": 0.04420454045572672, ""l2_leaf_reg"": 12.816959394682739, ""random_strength"": 0.23513624494106344, ""bagging_temperature"": 2.7254288949323366, ""border_count"": 128}"
