Variable,State_1,State_2,State_3
SST,11.674485632911392,22.30047420289855,18.880459989130433
NO3,2.1542801898734174,4.8875593478260875,3.5505099891304353
PO4,0.03758362181012658,0.01698834436231884,0.024641890695652174
SPCo2,27.664993544303798,40.774316666666664,33.54962826086956
MLD,28.487453164556964,12.440885362318841,22.42594119565217
SSS,32.55316607594936,31.692523478260867,32.01401152173913
SSH,0.21340873797468357,0.2783904260869565,0.29893461630434787
PAR,28.226124556962024,42.68568101449276,30.83765152173913
PDO,-0.5624050632911393,-0.6268115942028986,-0.7620652173913044
NINO_3.4,-0.17101265822784809,-0.030869565217391304,0.05282608695652173
WPI,0.0641772151898734,-0.3272463768115942,-0.1484782608695652
MHW_MeanInt,0.2505533069842309,0.46253490748332304,0.23204162540159334
MHW_MaxInt,0.3164699918124252,0.5907940700710906,0.29810912064126016
MHW_CumInt,3.588797033072857,6.753702728243096,3.509366557600063
