Variable,State_1,State_2,State_3
SST,-0.9773733647530688,0.80792673175414,0.23332121004844306
NO3,-0.9114501775471544,0.9743741111705088,0.05187772125500118
PO4,0.6782619508949275,-0.6054004625915347,-0.12837024132481886
SPCo2,-0.8779636062680288,1.0324211692374237,-0.020412345458782333
MLD,0.6247742762443501,-0.8204512212307897,0.07884746132196614
SSS,0.9443840408757244,-0.8454377075031398,-0.17686018925505423
SSH,-0.7257587301667938,0.19057377587157995,0.480275534217801
PAR,-0.4615341074859964,0.8322444139866508,-0.22786597906179545
PDO,0.08749625180720856,0.028210232039739852,-0.09629032503816895
NINO_3.4,-0.15671102935474734,0.017457618599227443,0.12147386560519946
WPI,0.18496909334757702,-0.18813289292205257,-0.017732486552575578
MHW_MeanInt,-0.16187493019655902,0.4753659404128489,-0.21752315655389626
MHW_MaxInt,-0.16405747592732883,0.4624915568067103,-0.20599322631960906
MHW_CumInt,-0.12453162535546244,0.3236183039124492,-0.13577896268345027
